"REF_DATE","GEO","DGUID","Sector","Fare type group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-10","Canada","2016A000011124","Domestic","Economy","Dollars","81","units ","0","v53508624","1.2.3","273.90","","","t","2"
"2008-10","Canada","2016A000011124","Domestic","Discounted","Dollars","81","units ","0","v53508625","1.2.4","187.40","","","t","2"
"2008-10","Canada","2016A000011124","Domestic","Other fares","Dollars","81","units ","0","v53508626","1.2.5","24.10","E","","t","2"
"2008-10","Canada","2016A000011124","Short-haul","All fare groups","Dollars","81","units ","0","v53508627","1.3.1","141.80","","","","2"
"2008-10","Canada","2016A000011124","Short-haul","Business class","Dollars","81","units ","0","v53508628","1.3.2","","F","","t","2"
"2008-10","Canada","2016A000011124","Short-haul","Economy","Dollars","81","units ","0","v53508629","1.3.3","213.80","","","t","2"
"2008-10","Canada","2016A000011124","Short-haul","Discounted","Dollars","81","units ","0","v53508630","1.3.4","138.90","","","t","2"
"2008-10","Canada","2016A000011124","Short-haul","Other fares","Dollars","81","units ","0","v53508631","1.3.5","31.60","E","","t","2"
"2008-10","Canada","2016A000011124","Long-haul","All fare groups","Dollars","81","units ","0","v53508632","1.4.1","","x","","","2"
"2008-10","Canada","2016A000011124","Long-haul","Business class","Dollars","81","units ","0","v53508633","1.4.2","","x","","t","2"
"2008-10","Canada","2016A000011124","Long-haul","Economy","Dollars","81","units ","0","v53508634","1.4.3","","x","","t","2"
"2008-10","Canada","2016A000011124","Long-haul","Discounted","Dollars","81","units ","0","v53508635","1.4.4","","x","","t","2"
"2008-10","Canada","2016A000011124","Long-haul","Other fares","Dollars","81","units ","0","v53508636","1.4.5","","x","","t","2"
"2008-10","Canada","2016A000011124","International","All fare groups","Dollars","81","units ","0","v53508637","1.5.1","344.10","","","","2"
"2008-10","Canada","2016A000011124","International","Business class","Dollars","81","units ","0","v53508638","1.5.2","3479.20","E","","t","2"
"2008-10","Canada","2016A000011124","International","Economy","Dollars","81","units ","0","v53508639","1.5.3","392.60","","","t","2"
"2008-10","Canada","2016A000011124","International","Discounted","Dollars","81","units ","0","v53508640","1.5.4","341.90","","","t","2"
"2008-10","Canada","2016A000011124","International","Other fares","Dollars","81","units ","0","v53508641","1.5.5","","F","","t","2"
"2009-01","Canada","2016A000011124","Domestic and international","All fare groups","Dollars","81","units ","0","v53508617","1.1.1","232.80","","","","2"
"2009-01","Canada","2016A000011124","Domestic and international","Business class","Dollars","81","units ","0","v53508618","1.1.2","3092.50","E","","t","2"
"2009-01","Canada","2016A000011124","Domestic and international","Economy","Dollars","81","units ","0","v53508619","1.1.3","285.90","","","t","2"
"2009-01","Canada","2016A000011124","Domestic and international","Discounted","Dollars","81","units ","0","v53508620","1.1.4","231.00","","","t","2"
"2009-01","Canada","2016A000011124","Domestic and international","Other fares","Dollars","81","units ","0","v53508621","1.1.5","","F","","t","2"
"2009-01","Canada","2016A000011124","Domestic","All fare groups","Dollars","81","units ","0","v53508622","1.2.1","168.90","","","","2"
"2009-01","Canada","2016A000011124","Domestic","Business class","Dollars","81","units ","0","v53508623","1.2.2","","F","","t","2"
"2009-01","Canada","2016A000011124","Domestic","Economy","Dollars","81","units ","0","v53508624","1.2.3","242.20","","","t","2"
"2009-01","Canada","2016A000011124","Domestic","Discounted","Dollars","81","units ","0","v53508625","1.2.4","166.10","","","t","2"
"2009-01","Canada","2016A000011124","Domestic","Other fares","Dollars","81","units ","0","v53508626","1.2.5","","F","","t","2"
"2009-01","Canada","2016A000011124","Short-haul","All fare groups","Dollars","81","units ","0","v53508627","1.3.1","127.70","","","","2"
"2009-01","Canada","2016A000011124","Short-haul","Business class","Dollars","81","units ","0","v53508628","1.3.2","","F","","t","2"
"2009-01","Canada","2016A000011124","Short-haul","Economy","Dollars","81","units ","0","v53508629","1.3.3","194.50","","","t","2"
"2009-01","Canada","2016A000011124","Short-haul","Discounted","Dollars","81","units ","0","v53508630","1.3.4","125.20","","","t","2"
"2009-01","Canada","2016A000011124","Short-haul","Other fares","Dollars","81","units ","0","v53508631","1.3.5","","F","","t","2"
"2009-01","Canada","2016A000011124","Long-haul","All fare groups","Dollars","81","units ","0","v53508632","1.4.1","","x","","","2"
"2009-01","Canada","2016A000011124","Long-haul","Business class","Dollars","81","units ","0","v53508633","1.4.2","","x","","t","2"
"2009-01","Canada","2016A000011124","Long-haul","Economy","Dollars","81","units ","0","v53508634","1.4.3","","x","","t","2"
"2009-01","Canada","2016A000011124","Long-haul","Discounted","Dollars","81","units ","0","v53508635","1.4.4","","x","","t","2"
